Name,Path,Price
Paulo Coelho - Deluxe Collection,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_stripbooks_sr_pg1_1?ie=UTF8&adId=A0659039EG4KCB3JEWX3&url=%2FPaulo-Coelho-Deluxe-Collection%2Fdp%2F000783943X%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2G507OZQ278O9%26keywords%3Dpaulo%2Bcoelho%26qid%3D1559891547%26s%3Dbooks%26sprefix%3Dpaulo%2Bcoe%252Celectronics%252C291%26sr%3D1-1-spons%26psc%3D1%26smid%3DA05378423NJE7Q5XCN3XZ&qualifier=1559891547&id=2236145643865189&widgetName=sp_atf,"2,365"
Paulo Coelho: The Golden Collection,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_stripbooks_sr_pg1_2?ie=UTF8&adId=A04922861XAJ4QD6C1CO3&url=%2FPaulo-Coelho-Golden-Collection%2Fdp%2F0008140162%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2G507OZQ278O9%26keywords%3Dpaulo%2Bcoelho%26qid%3D1559891547%26s%3Dbooks%26sprefix%3Dpaulo%2Bcoe%252Celectronics%252C291%26sr%3D1-2-spons%26psc%3D1%26smid%3DA05378423NJE7Q5XCN3XZ&qualifier=1559891547&id=2236145643865189&widgetName=sp_atf,"2,099"
The Alchemist,/Alchemist-Paulo-Coelho/dp/8172234988/ref=sr_1_3?crid=2G507OZQ278O9&keywords=paulo+coelho&qid=1559891547&s=books&sprefix=paulo+coe%2Celectronics%2C291&sr=1-3,262
Like the Flowing River: Thoughts and Reflections,/Like-Flowing-River-Thoughts-Reflections/dp/0007246307/ref=sr_1_4?crid=2G507OZQ278O9&keywords=paulo+coelho&qid=1559891547&s=books&sprefix=paulo+coe%2Celectronics%2C291&sr=1-4,218
Eleven Minutes,/Eleven-Minutes-Paulo-Coelho/dp/8172235631/ref=sr_1_5?crid=2G507OZQ278O9&keywords=paulo+coelho&qid=1559891547&s=books&sprefix=paulo+coe%2Celectronics%2C291&sr=1-5,208
